,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
,NAME,COUNTRY,CRNCY,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME,CUR_MKT_CAP
0111145D UN Equity,NICOR INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0202445Q UN Equity,EMD MILLIPORE CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0203524D UN Equity,NATIONAL SEMICONDUCTOR CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0226226D UN Equity,CENTEX LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0544749D UN Equity,KERR-MCGEE CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0574018D UN Equity,ARCHSTONE-SMITH TRUST,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0772031D UN Equity,QWEST COMMUNICATIONS INTL,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0848680D UN Equity,SPRINT COMMUNICATIONS LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0867887D UN Equity,MOTOROLA MOBILITY HOLDINGS L,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0876218D LN Equity,EXPERIAN FINANCE PLC,GB,GBp,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services,#N/A N/A
0910150D US Equity,PARK HOTELS & RESORTS INC /O,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",#N/A N/A
0961514D UN Equity,PROGRESS ENERGY INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0964591D UQ Equity,BIOMET INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
0964591D UW Equity,BIOMET INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1086832D UN Equity,ETC SUNOCO HOLDINGS LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1255173D UN Equity,WACHOVIA CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1255459D UW Equity,LIFE TECHNOLOGIES CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1280712D UQ Equity,NOVELLUS SYSTEMS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1280712D UW Equity,NOVELLUS SYSTEMS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1281683D UN Equity,ALBERTO-CULVER CO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1284849D UN Equity,ALLERGAN INC/UNITED STATES,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,#N/A N/A
1288453D UW Equity,MONSTER BEVERAGE 1990 CORP,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,#N/A N/A
1288652D US Equity,JEFFERSON-PILOT CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1293405D UN Equity,UNIVISION COMMUNICATIONS-A,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1312089D UN Equity,ALBERTSON'S LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1317355D UN Equity,FIRST DATA CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1431816D UN Equity,LSI CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1431816D UW Equity,LSI CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1436513D UN Equity,JOHNSON CONTROLS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1448062D UN Equity,DIRECTV,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,#N/A N/A
1448062D UW Equity,DIRECTV,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,#N/A N/A
1500785D UN Equity,TECO ENERGY INC,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,#N/A N/A
1518855D US Equity,YAHOO! INC - SET UP FOR FUND,US,USD,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,#N/A N/A
1519128D UQ Equity,COMPUWARE CORP,US,USD,Information Technology,Software & Services,Software,Application Software,#N/A N/A
1519128D UW Equity,COMPUWARE CORP,US,USD,Information Technology,Software & Services,Software,Application Software,#N/A N/A
1520415D UN Equity,COMMERCE BANCORP LLC/NJ,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1524867D UN Equity,BJ SERVICES CO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1528159D UN Equity,SABRE HOLDINGS CORP-CL A,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1539941D UN Equity,SPECTRA ENERGY LLC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,#N/A N/A
1541931D UQ Equity,ALTERA CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
1541931D UW Equity,ALTERA CORP,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
1566019D UN Equity,ADT SECURITY CORP/THE,US,USD,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services,#N/A N/A
1649858D UN Equity,SAFECO CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1649858D UQ Equity,SAFECO CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1654539D UN Equity,EMBARQ LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1655637D LN Equity,MS AMLIN LTD,GB,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,#N/A N/A
1683351D UQ Equity,NOVARTIS VACCINES AND DIAGNO,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1683997D UQ Equity,DELL INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1683997D UW Equity,DELL INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1684442D UN Equity,PALL CORP,US,USD,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,#N/A N/A
1697067D UN Equity,DOW CHEMICAL CO/THE,US,USD,Materials,Materials,Chemicals,Diversified Chemicals,#N/A N/A
1704453D UN Equity,FREEPORT-MCMORAN CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1715651D UN Equity,EIDP INC,US,USD,Materials,Materials,Chemicals,Diversified Chemicals,#N/A N/A
