index_id,as_of_date,Ticker,Name,Weight,Shares,Price
SPX,2005-12-31,EIX UN Equity,Edison International,--,--,43.61
SPX,2005-12-31,BOL UN Equity,Bausch & Lomb Inc,--,--,67.9
SPX,2005-12-31,FE UN Equity,FirstEnergy Corp,--,--,48.99
SPX,2005-12-31,FMCC UN Equity,Federal Home Loan Mortgage Corp,--,--,65.35
SPX,2005-12-31,FNMA UN Equity,Federal National Mortgage Association,--,--,48.81
SPX,2005-12-31,CMVT UQ Equity,Comverse Technology Inc,--,--,26.59
SPX,2005-12-31,NAV UN Equity,Navistar International Corp,--,--,28.62
SPX,2005-12-31,AA UN Equity,Alcoa Corp,--,--,29.57
SPX,2005-12-31,AXP UN Equity,American Express Co,--,--,51.46
SPX,2005-12-31,BA UN Equity,Boeing Co/The,--,--,70.24
SPX,2005-12-31,CAT UN Equity,Caterpillar Inc,--,--,57.77
SPX,2005-12-31,JPM UN Equity,JPMorgan Chase & Co,--,--,39.69
SPX,2005-12-31,CVX UN Equity,Chevron Corp,--,--,56.77
SPX,2005-12-31,KO UN Equity,Coca-Cola Co/The,--,--,40.31
SPX,2005-12-31,DIS UN Equity,Walt Disney Co/The,--,--,23.97
SPX,2005-12-31,1715651D UN Equity,EIDP Inc,--,--,42.5
SPX,2005-12-31,XOM UN Equity,Exxon Mobil Corp,--,--,56.17
SPX,2005-12-31,GE UN Equity,General Electric Co,--,--,35.05
SPX,2005-12-31,HPQ UN Equity,HP Inc,--,--,28.63
SPX,2005-12-31,HD UN Equity,Home Depot Inc/The,--,--,40.48
SPX,2005-12-31,IBM UN Equity,International Business Machines Corp,--,--,82.2
SPX,2005-12-31,JNJ UN Equity,Johnson & Johnson,--,--,60.1
SPX,2005-12-31,MCD UN Equity,McDonald's Corp,--,--,33.72
SPX,2005-12-31,MRK UN Equity,Merck & Co Inc,--,--,31.81
SPX,2005-12-31,MMM UN Equity,3M Co,--,--,77.5
SPX,2005-12-31,PFE UN Equity,Pfizer Inc,--,--,23.32
SPX,2005-12-31,PG UN Equity,Procter & Gamble Co/The,--,--,57.88
SPX,2005-12-31,T UN Equity,AT&T Inc,--,--,24.49
SPX,2005-12-31,TRV UN Equity,Travelers Cos Inc/The,--,--,44.67
SPX,2005-12-31,RTX UN Equity,RTX Corp,--,--,55.91
SPX,2005-12-31,WMT UN Equity,Walmart Inc,--,--,46.8
SPX,2005-12-31,MTLQQ UN Equity,Motors Liquidation Co,--,--,19.42
SPX,2005-12-31,CI UN Equity,Cigna Group/The,--,--,111.7
SPX,2005-12-31,C UN Equity,Citigroup Inc,--,--,48.53
SPX,2005-12-31,AIG UN Equity,American International Group Inc,--,--,68.23
SPX,2005-12-31,HON UN Equity,Honeywell International Inc,--,--,37.25
SPX,2005-12-31,MO UN Equity,Altria Group Inc,--,--,74.72
SPX,2005-12-31,INTC UQ Equity,Intel Corp,--,--,24.96
SPX,2005-12-31,MSFT UQ Equity,Microsoft Corp,--,--,26.15
SPX,2005-12-31,EKDKQ UN Equity,Eastman Kodak Co,--,--,23.4
SPX,2005-12-31,IP UN Equity,International Paper Co,--,--,33.61
SPX,2005-12-31,ABT UN Equity,Abbott Laboratories,--,--,39.43
SPX,2005-12-31,AMD UN Equity,Advanced Micro Devices Inc,--,--,30.6
SPX,2005-12-31,AFL UN Equity,Aflac Inc,--,--,46.42
SPX,2005-12-31,APD UN Equity,Air Products and Chemicals Inc,--,--,59.19
SPX,2005-12-31,1752754D UN Equity,Suntory Global Spirits Inc,--,--,78.02
SPX,2005-12-31,AEP UN Equity,American Electric Power Co Inc,--,--,37.09
SPX,2005-12-31,HES UN Equity,Hess Corp,--,--,126.82
SPX,2005-12-31,APC UN Equity,Anadarko Petroleum Corp,--,--,94.75
SPX,2005-12-31,ADI UN Equity,Analog Devices Inc,--,--,35.87
SPX,2005-12-31,ADM UN Equity,Archer-Daniels-Midland Co,--,--,24.66
SPX,2005-12-31,AZO UN Equity,AutoZone Inc,--,--,91.75
SPX,2005-12-31,APA UN Equity,APA Corp,--,--,68.52
SPX,2005-12-31,AVY UN Equity,Avery Dennison Corp,--,--,55.27
SPX,2005-12-31,AVP UN Equity,Avon Products Inc,--,--,28.55
SPX,2005-12-31,BHI UN Equity,Baker Hughes Holdings LLC,--,--,60.78
SPX,2005-12-31,BALL UN Equity,Ball Corp,--,--,39.72
SPX,2005-12-31,1972693D UN Equity,Constellation Energy Group Inc,--,--,57.6
SPX,2005-12-31,BK UN Equity,Bank of New York Mellon Corp/The,--,--,31.85
SPX,2005-12-31,BCR UN Equity,CR Bard Inc,--,--,65.92
SPX,2005-12-31,BDX UN Equity,Becton Dickinson & Co,--,--,60.08
SPX,2005-12-31,BMS UN Equity,Amcor Flexibles North America Inc,--,--,27.87
SPX,2005-12-31,BBY UN Equity,Best Buy Co Inc,--,--,43.48
SPX,2005-12-31,HRB UN Equity,H&R Block Inc,--,--,24.55
SPX,2005-12-31,BSX UN Equity,Boston Scientific Corp,--,--,24.49
SPX,2005-12-31,BMY UN Equity,Bristol-Myers Squibb Co,--,--,22.98
SPX,2005-12-31,BF/B UN Equity,Brown-Forman Corp,--,--,69.32
SPX,2005-12-31,CPB UN Equity,Campbell's Company/The,--,--,29.77
SPX,2005-12-31,CCL UN Equity,Carnival Corp,--,--,53.47
SPX,2005-12-31,LUMN UN Equity,Lumen Technologies Inc,--,--,33.16
SPX,2005-12-31,9876566D UN Equity,Chubb Corp/The,--,--,97.65
SPX,2005-12-31,CLX UN Equity,Clorox Co/The,--,--,56.89
SPX,2005-12-31,CMS UN Equity,CMS Energy Corp,--,--,14.51
SPX,2005-12-31,CCEP UN Equity,Coca-Cola Europacific Partners PLC,--,--,19.17
SPX,2005-12-31,CL UN Equity,Colgate-Palmolive Co,--,--,54.85
SPX,2005-12-31,CMA UN Equity,Comerica Inc,--,--,56.76
SPX,2005-12-31,2596516D UN Equity,Computer Sciences Corp,--,--,50.64
SPX,2005-12-31,CAG UN Equity,Conagra Brands Inc,--,--,20.28
SPX,2005-12-31,ED UN Equity,Consolidated Edison Inc,--,--,46.33
SPX,2005-12-31,BIGGQ UN Equity,Big Lots Inc,--,--,12.01
SPX,2005-12-31,CBE UN Equity,Cooper Industries PLC,--,--,73
SPX,2005-12-31,GLW UN Equity,Corning Inc,--,--,19.66
SPX,2005-12-31,CSX UN Equity,CSX Corp,--,--,50.77
SPX,2005-12-31,CMI UN Equity,Cummins Inc,--,--,89.73
