year,hhi_index,num_members,avg_weight_pct,largest_weight_pct,effective_positions,concentration_level
2005,332.67,102,0.98,9.08,30.1,Unconcentrated
2006,283.98,101,0.99,7.34,35.2,Unconcentrated
2007,300.61,102,0.98,7.64,33.3,Unconcentrated
2008,366.94,102,0.98,9.15,27.3,Unconcentrated
2009,338.08,102,0.98,8.84,29.6,Unconcentrated
2010,298.34,102,0.98,7.48,33.5,Unconcentrated
2011,303.16,102,0.98,6.25,33.0,Unconcentrated
2012,287.26,101,0.99,7.97,34.8,Unconcentrated
2013,277.33,101,0.99,7.15,36.1,Unconcentrated
2014,246.08,102,0.98,6.96,40.6,Unconcentrated
2015,234.08,101,0.99,6.5,42.7,Unconcentrated
2016,274.86,101,0.99,7.3,36.4,Unconcentrated
2017,284.17,101,0.99,7.75,35.2,Unconcentrated
2018,292.41,101,0.99,7.65,34.2,Unconcentrated
2019,262.43,101,0.99,6.34,38.1,Unconcentrated
2020,238.28,101,0.99,6.48,42.0,Unconcentrated
2021,243.66,101,0.99,6.72,41.0,Unconcentrated
2022,344.34,100,1.0,8.63,29.0,Unconcentrated
2023,327.49,100,1.0,8.77,30.5,Unconcentrated
2024,316.75,100,1.0,7.78,31.6,Unconcentrated
