year,status,company_count,companies
2005,ENTRY,102,"EXPERIAN FINANCE PLC, BHP GROUP UK LTD, FERGUSON PLC, ANGLO AMERICAN PLC, ALLIANCE BOOTS HOLDINGS LTD, ASSOCIATED BRITISH FOODS PLC, ALLIANCE & LEICESTER PLC, ANTOFAGASTA PLC, WBA HOLDINGS 1 LTD, AVIVA PLC, ASTRAZENECA PLC, BAE SYSTEMS PLC, LHR AIRPORTS LTD, BARCLAYS PLC, BRITISH AMERICAN TOBACCO PLC, BG GROUP LTD, BIP INDUSTRIES LTD, BRITISH LAND CO PLC, BOC GROUP LTD/THE, BP PLC, BWIN PARTY DIGITAL ENTERTAIN, BT GROUP PLC, CADBURY LTD, CARNIVAL PLC, CENTRICA PLC, CAPRICORN ENERGY PLC, COMPASS GROUP PLC, CAPITA PLC, CABLE & WIRELESS COMMUNICATI, DIAGEO PLC, DAILY MAIL & GENERAL TRUST P, CURRYS RETAIL GROUP LTD, EI GROUP LTD, MAN GROUP PLC/JERSEY, AVIVA WEALTH HOLDINGS UK LTD, GALLAHER GROUP LTD, GSK PLC, HBOS PLC, HIBU PLC, HAMMERSON PLC, HANSON LTD, HSBC HOLDINGS PLC, INTL CONSOLIDATED AIRLINE-DI, IMPERIAL CHEMICAL INDUSTRIES, INTERCONTINENTAL HOTELS GROU, 3I GROUP PLC, IMPERIAL BRANDS PLC, INTU PROPERTIES PLC, INTERNATIONAL POWER LTD, ITV PLC, INVESCO LTD, JOHNSON MATTHEY PLC, KAZ MINERALS PLC, KELDA GROUP LTD, KINGFISHER PLC, LAND SECURITIES GROUP PLC, LADBROKES CORAL GROUP LTD, LEGAL & GENERAL GROUP PLC, LLOYDS BANKING GROUP PLC, MARKS & SPENCER GROUP PLC, WM MORRISON SUPERMARKETS LTD, NATIONAL GRID PLC, LANDMARK MORTGAGES LTD, NATWEST GROUP PLC, NEXT PLC, OM RESIDUAL UK LTD, TELEFONICA O2 HOLDINGS LTD, PENINSULAR & ORIENTAL STEAM, PRUDENTIAL PLC, PERSIMMON PLC, PEARSON PLC, SHELL PLC, SHELL PLC, RELX PLC, REXAM LTD, RIO TINTO PLC, RECKITT BENCKISER GROUP PLC, ROLLS-ROYCE HOLDINGS PLC, RSA INSURANCE GROUP LTD, RENTOKIL INITIAL PLC, ABI SAB GROUP HOLDING LTD, SAINSBURY (J) PLC, SCOTTISH & NEWCASTLE LTD, SCHRODERS PLC, SCHRODERS PLC-NON VOTING, SAGE GROUP PLC/THE, SHIRE PLC, SKY PLC, SMITHS GROUP PLC, SMITH & NEPHEW PLC, SCOTTISH POWER LTD, SSE PLC, STANDARD CHARTERED PLC, SEVERN TRENT PLC, TATE & LYLE PLC, THOMSON REUTERS UK LTD, TESCO PLC, UNILEVER PLC, UNITED UTILITIES GROUP PLC, VODAFONE GROUP PLC, WPP PLC, XSTRATA LTD"
2005,EXIT,13,"EXPERIAN FINANCE PLC, WBA HOLDINGS 1 LTD, LHR AIRPORTS LTD, BIP INDUSTRIES LTD, BOC GROUP LTD/THE, BWIN PARTY DIGITAL ENTERTAIN, DAILY MAIL & GENERAL TRUST P, LADBROKES CORAL GROUP LTD, TELEFONICA O2 HOLDINGS LTD, PENINSULAR & ORIENTAL STEAM, RENTOKIL INITIAL PLC, SCHRODERS PLC, SCHRODERS PLC-NON VOTING"
2006,ENTRY,12,"HOME RETAIL GROUP LTD, PEARL GROUP HOLDINGS NO 1 LT, ABERDEEN GROUP PLC, BRADFORD & BINGLEY LTD, CORUS GROUP PLC, DRAX GROUP PLC, EXPERIAN PLC, NEX INTERNATIONAL LTD, SIBANYE UK LTD, SEGRO PLC, VEDANTA RESOURCES LTD, WHITBREAD PLC"
2006,EXIT,13,"ALLIANCE BOOTS HOLDINGS LTD, BRADFORD & BINGLEY LTD, CORUS GROUP PLC, DRAX GROUP PLC, CURRYS RETAIL GROUP LTD, GALLAHER GROUP LTD, HANSON LTD, IMPERIAL CHEMICAL INDUSTRIES, INVESCO LTD, LANDMARK MORTGAGES LTD, SEGRO PLC, SCOTTISH POWER LTD, TATE & LYLE PLC"
2007,ENTRY,14,"CARPHONE WAREHOUSE GROUP\OLD, ADMIRAL GROUP PLC, AMEC FOSTER WHEELER LTD, EDF ENERGY NUCLEAR GENERATIO, FIRSTGROUP PLC, G4S LTD, LONDON STOCK EXCHANGE GROUP, RENTOKIL INITIAL PLC, SCHRODERS PLC, SCHRODERS PLC-NON VOTING, THOMAS COOK GROUP PLC, TULLOW OIL PLC, TUI TRAVEL LTD, TAYLOR WIMPEY PLC"
2007,EXIT,12,"PEARL GROUP HOLDINGS NO 1 LT, CARPHONE WAREHOUSE GROUP\OLD, ALLIANCE & LEICESTER PLC, EI GROUP LTD, HIBU PLC, ITV PLC, KELDA GROUP LTD, SIBANYE UK LTD, PERSIMMON PLC, RENTOKIL INITIAL PLC, SCOTTISH & NEWCASTLE LTD, TAYLOR WIMPEY PLC"
2008,ENTRY,12,"MS AMLIN LTD, ALLIANCE WITAN PLC, AUTONOMY CORP PLC, BUNZL PLC, COBHAM LTD, DRAX GROUP PLC, EURASIAN NATURAL RESOURCES C, INMARSAT PLC, INVENSYS LTD, RANDGOLD RESOURCES LTD, SERCO GROUP PLC, TATE & LYLE PLC"
2008,EXIT,8,"MS AMLIN LTD, EDF ENERGY NUCLEAR GENERATIO, DRAX GROUP PLC, FIRSTGROUP PLC, AVIVA WEALTH HOLDINGS UK LTD, HBOS PLC, TATE & LYLE PLC, THOMSON REUTERS UK LTD"
2009,ENTRY,8,"AGGREKO LTD, BURBERRY GROUP PLC, FRIENDS LIFE GROUP LTD, FRESNILLO PLC, INTERTEK GROUP PLC, SIBANYE UK LTD, PETROFAC LTD, SEGRO PLC"
2009,EXIT,7,"HOME RETAIL GROUP LTD, CADBURY LTD, COBHAM LTD, CABLE & WIRELESS COMMUNICATI, LONDON STOCK EXCHANGE GROUP, SEGRO PLC, THOMAS COOK GROUP PLC"
2010,ENTRY,7,"BARRICK TZ LTD, ARM HOLDINGS PLC, ESSAR ENERGY LTD, GKN LTD, IMI PLC, INVESTEC PLC, WEIR GROUP PLC/THE"
2010,EXIT,9,"BARRICK TZ LTD, ALLIANCE WITAN PLC, AUTONOMY CORP PLC, 3I GROUP PLC, INVESTEC PLC, INMARSAT PLC, INVENSYS LTD, SIBANYE UK LTD, TUI TRAVEL LTD"
2011,ENTRY,9,"ASHMORE GROUP PLC, CRH PLC, EVRAZ PLC, GLENCORE PLC, HARGREAVES LANSDOWN LTD, ITV PLC, MEGGITT LTD, SOLIDCORE RESOURCES PLC, TATE & LYLE PLC"
2011,EXIT,7,"ASHMORE GROUP PLC, CAPRICORN ENERGY PLC, MAN GROUP PLC/JERSEY, ESSAR ENERGY LTD, NEX INTERNATIONAL LTD, INTERNATIONAL POWER LTD, SCHRODERS PLC-NON VOTING"
2012,ENTRY,6,"ABRDN HOLDINGS LTD, BABCOCK INTL GROUP PLC, CRODA INTERNATIONAL PLC, MELROSE INDUSTRIES PLC, TUI TRAVEL LTD, JOHN WOOD GROUP PLC"
2012,EXIT,10,"CRODA INTERNATIONAL PLC, EURASIAN NATURAL RESOURCES C, EVRAZ PLC, INTU PROPERTIES PLC, KAZ MINERALS PLC, SOLIDCORE RESOURCES PLC, SERCO GROUP PLC, VEDANTA RESOURCES LTD, JOHN WOOD GROUP PLC, XSTRATA LTD"
2013,ENTRY,10,"ASHTEAD GROUP PLC, COCA-COLA HBC AG-DI, EASYJET PLC, FRASERS GROUP PLC, INTERNATIONAL DISTRIBUTION S, LONDON STOCK EXCHANGE GROUP, MONDI PLC, PERSIMMON PLC, TRAVIS PERKINS PLC, WILLIAM HILL LTD"
2013,EXIT,8,"AMEC FOSTER WHEELER LTD, IMI PLC, MELROSE INDUSTRIES PLC, PETROFAC LTD, REXAM LTD, TATE & LYLE PLC, TUI TRAVEL LTD, WILLIAM HILL LTD"
2014,ENTRY,9,"BARRATT REDROW PLC, CURRYS PLC, DIRECT LINE INSURANCE GROUP, 3I GROUP PLC, INTU PROPERTIES PLC, ST JAMES'S PLACE PLC, TUI AG, TUI AG-NEW, TAYLOR WIMPEY PLC"
2014,EXIT,8,"AGGREKO LTD, FRIENDS LIFE GROUP LTD, G4S LTD, MEGGITT LTD, WM MORRISON SUPERMARKETS LTD, TULLOW OIL PLC, TUI AG-NEW, WEIR GROUP PLC/THE"
2015,ENTRY,7,"BERKELEY GROUP HOLDINGS/THE, DCC PLC, HIKMA PHARMACEUTICALS PLC, INMARSAT PLC, MERLIN ENTERTAINMENTS LTD, VANQUIS BANKING GROUP PLC, WORLDPAY GROUP PLC"
2015,EXIT,8,"ABRDN HOLDINGS LTD, ARM HOLDINGS PLC, BG GROUP LTD, BERKELEY GROUP HOLDINGS/THE, FRASERS GROUP PLC, INMARSAT PLC, ABI SAB GROUP HOLDING LTD, TRAVIS PERKINS PLC"
2016,ENTRY,8,"CRODA INTERNATIONAL PLC, CONVATEC GROUP PLC, FLUTTER ENTERTAINMENT PLC-DI, INFORMA PLC, MICRO FOCUS INTERNATIONAL, MEDICLINIC GROUP LTD, WM MORRISON SUPERMARKETS LTD, SMURFIT KAPPA GROUP LTD/IREL"
2016,EXIT,9,"BABCOCK INTL GROUP PLC, CAPITA PLC, CONVATEC GROUP PLC, CURRYS PLC, HIKMA PHARMACEUTICALS PLC, INTERNATIONAL DISTRIBUTION S, INTU PROPERTIES PLC, MERLIN ENTERTAINMENTS LTD, VANQUIS BANKING GROUP PLC"
2017,ENTRY,9,"BERKELEY GROUP HOLDINGS/THE, G4S LTD, HALMA PLC, JUST EAT LTD/UNITED KINGDOM, NMC HEALTH PLC, RENTOKIL INITIAL PLC, SEGRO PLC, DS SMITH PLC, SCOTTISH MORTGAGE INV TR PLC"
2017,EXIT,10,"G4S LTD, GKN LTD, HAMMERSON PLC, JUST EAT LTD/UNITED KINGDOM, MEDICLINIC GROUP LTD, OM RESIDUAL UK LTD, RANDGOLD RESOURCES LTD, SHIRE PLC, SKY PLC, WORLDPAY GROUP PLC"
2018,ENTRY,10,"AUTO TRADER GROUP PLC, ENTAIN PLC, EVRAZ PLC, HIKMA PHARMACEUTICALS PLC, HISCOX LTD, MELROSE INDUSTRIES PLC, OCADO GROUP PLC, RIGHTMOVE PLC, SPIRAX GROUP PLC, JOHN WOOD GROUP PLC"
2018,EXIT,7,"DIRECT LINE INSURANCE GROUP, ENTAIN PLC, FRESNILLO PLC, HISCOX LTD, MICRO FOCUS INTERNATIONAL, MARKS & SPENCER GROUP PLC, JOHN WOOD GROUP PLC"
2019,ENTRY,7,"AVEVA GROUP LTD, JD SPORTS FASHION PLC, JUST EAT LTD/UNITED KINGDOM, MEGGITT LTD, M&G PLC, PHOENIX GROUP HOLDINGS PLC, SOLIDCORE RESOURCES PLC"
2019,EXIT,8,"CARNIVAL PLC, CENTRICA PLC, EASYJET PLC, ITV PLC, JUST EAT LTD/UNITED KINGDOM, MEGGITT LTD, NMC HEALTH PLC, TUI AG"
2020,ENTRY,8,"AVAST LTD, B&M EUROPEAN VALUE RETAIL SA, ENTAIN PLC, FRESNILLO PLC, ICG PLC, JUST EAT TAKEAWAY, PENNON GROUP PLC, PERSHING SQUARE HOLDINGS LTD"
2020,EXIT,5,"JUST EAT TAKEAWAY, JOHNSON MATTHEY PLC, WM MORRISON SUPERMARKETS LTD, PENNON GROUP PLC, RSA INSURANCE GROUP LTD"
2021,ENTRY,5,"DECHRA PHARMACEUTICALS LTD, INTERNATIONAL DISTRIBUTION S, ITV PLC, MEGGITT LTD, RS GROUP PLC"
2021,EXIT,13,"BHP GROUP UK LTD, FERGUSON PLC, AVAST LTD, DECHRA PHARMACEUTICALS LTD, EVRAZ PLC, HIKMA PHARMACEUTICALS PLC, ICG PLC, INTERNATIONAL DISTRIBUTION S, ITV PLC, MEGGITT LTD, SOLIDCORE RESOURCES PLC, SHELL PLC, SHELL PLC"
2022,ENTRY,12,"AIRTEL AFRICA PLC, BEAZLEY PLC, CENTRICA PLC, CONVATEC GROUP PLC, ENDEAVOUR MINING PLC, F&C INVESTMENT TRUST PLC, FRASERS GROUP PLC, HALEON PLC, HOMESERVE LTD, SHELL PLC, UNITE GROUP PLC/THE, WEIR GROUP PLC/THE"
2022,EXIT,7,"ABERDEEN GROUP PLC, AVEVA GROUP LTD, BRITISH LAND CO PLC, CRH PLC, HARGREAVES LANSDOWN LTD, HOMESERVE LTD, PERSIMMON PLC"
2023,ENTRY,7,"DECHRA PHARMACEUTICALS LTD, DIPLOMA PLC, HIKMA PHARMACEUTICALS PLC, HOWDEN JOINERY GROUP PLC, ICG PLC, IMI PLC, MARKS & SPENCER GROUP PLC"
2023,EXIT,8,"B&M EUROPEAN VALUE RETAIL SA, BURBERRY GROUP PLC, DECHRA PHARMACEUTICALS LTD, FLUTTER ENTERTAINMENT PLC-DI, FRASERS GROUP PLC, OCADO GROUP PLC, RS GROUP PLC, SMURFIT KAPPA GROUP LTD/IREL"
2024,ENTRY,8,"ALLIANCE WITAN PLC, BRITISH LAND CO PLC, EASYJET PLC, GAMES WORKSHOP GROUP PLC, HARGREAVES LANSDOWN LTD, HISCOX LTD, LONDONMETRIC PROPERTY PLC, PERSIMMON PLC"
