country_id,year_quarter,gdp_growth_pct,total_companies,resilient_companies,resilience_rate_pct
GB,2008-Q3,-1.0,20,4,20.0
GB,2008-Q4,-3.9,20,3,15.0
US,2008-Q4,-2.5,649,175,27.0
GB,2009-Q1,-6.2,20,5,25.0
US,2009-Q1,-3.2,649,201,31.0
GB,2009-Q2,-5.9,20,1,5.0
US,2009-Q2,-4.0,655,152,23.2
GB,2009-Q3,-4.3,20,5,25.0
US,2009-Q3,-3.1,655,114,17.4
GB,2009-Q4,-1.9,20,1,5.0
GB,2020-Q1,-2.0,22,3,13.6
GB,2020-Q2,-21.7,22,3,13.6
US,2020-Q2,-7.4,632,144,22.8
GB,2020-Q3,-8.9,22,1,4.5
US,2020-Q3,-1.4,628,57,9.1
GB,2020-Q4,-7.6,22,2,9.1
US,2020-Q4,-0.9,627,59,9.4
GB,2021-Q1,-6.1,22,1,4.5
GB,2023-Q4,-0.5,17,1,5.9
